Gen: 0 | Net_R: -0.72 | Avg_R: -0.72 | Kid_avg_R: -0.893 | Gen_T: 16.74488067626953
Gen: 1 | Net_R: -0.92 | Avg_R: -0.74 | Kid_avg_R: -0.9029999999999999 | Gen_T: 15.748504400253296
Gen: 2 | Net_R: -0.84 | Avg_R: -0.75 | Kid_avg_R: -0.8700000000000001 | Gen_T: 15.638402938842773
Gen: 3 | Net_R: -0.82 | Avg_R: -0.757 | Kid_avg_R: -0.908 | Gen_T: 16.47052812576294
Gen: 4 | Net_R: -0.78 | Avg_R: -0.7593000000000001 | Kid_avg_R: -0.8949999999999999 | Gen_T: 18.579769134521484
Gen: 5 | Net_R: -0.84 | Avg_R: -0.7673700000000001 | Kid_avg_R: -0.8939999999999998 | Gen_T: 17.698052167892456
Gen: 6 | Net_R: -0.9 | Avg_R: -0.7806330000000001 | Kid_avg_R: -0.89 | Gen_T: 17.12939715385437
Gen: 7 | Net_R: -0.9 | Avg_R: -0.7925697000000002 | Kid_avg_R: -0.9040000000000002 | Gen_T: 16.049922227859497
Gen: 8 | Net_R: -0.86 | Avg_R: -0.7993127300000001 | Kid_avg_R: -0.8750000000000002 | Gen_T: 16.948753595352173
Gen: 9 | Net_R: -0.86 | Avg_R: -0.8053814570000001 | Kid_avg_R: -0.8700000000000001 | Gen_T: 16.259231567382812
Gen: 10 | Net_R: -0.66 | Avg_R: -0.7908433113000002 | Kid_avg_R: -0.8619999999999999 | Gen_T: 21.28996229171753
Gen: 11 | Net_R: -0.84 | Avg_R: -0.7957589801700001 | Kid_avg_R: -0.8860000000000001 | Gen_T: 17.7783465385437
Gen: 12 | Net_R: -0.8 | Avg_R: -0.796183082153 | Kid_avg_R: -0.8779999999999999 | Gen_T: 19.85360312461853
Gen: 13 | Net_R: -0.94 | Avg_R: -0.8105647739377 | Kid_avg_R: -0.8530000000000001 | Gen_T: 18.97718906402588
Gen: 14 | Net_R: -0.92 | Avg_R: -0.82150829654393 | Kid_avg_R: -0.906 | Gen_T: 17.699987411499023
